,index,winner_name,winner_hand,winner_ht,winner_age,score,tourney_name,minutes,loser_name,loser_hand,loser_ht,loser_age,winner_rank,winner_rank_points,loser_rank,loser_rank_points
572,985,Mayar Sherif,R,180.0,27.9,4-6 7-6(4) 6-4,Madrid,195.0,Lauren Davis,R,157.0,30.5,72.0,924.0,166.0,448.0
573,987,Shelby Rogers,R,175.0,31.5,6-3 6-2,Madrid,62.0,Shuai Zhang,R,177.0,35.2,352.0,185.0,671.0,58.0
574,989,Xin Yu Wang,R,182.0,22.5,5-7 7-5 6-4,Madrid,169.0,Viktoriya Tomova,R,170.0,29.1,42.0,1346.0,81.0,866.0
575,992,Jaqueline Cristian,R,180.0,25.8,7-5 6-2,Madrid,100.0,Magdalena Frech,R,171.0,26.3,73.0,923.0,51.0,1195.0
576,995,Iga Swiatek,R,176.0,22.9,6-2 6-3,Rome,89.0,Aryna Sabalenka,R,182.0,26.0,1.0,10910.0,2.0,7498.0
577,996,Iga Swiatek,R,176.0,22.9,6-4 6-3,Rome,107.0,Coco Gauff,R,175.0,20.1,1.0,10910.0,3.0,7313.0
578,997,Aryna Sabalenka,R,182.0,26.0,7-5 6-2,Rome,83.0,Danielle Collins,R,178.0,30.3,2.0,7498.0,15.0,2759.0
579,998,Iga Swiatek,R,176.0,22.9,6-1 6-3,Rome,76.0,Madison Keys,R,178.0,29.2,1.0,10910.0,16.0,2688.0
580,1000,Danielle Collins,R,178.0,30.3,6-4 6-3,Rome,104.0,Victoria Azarenka,R,180.0,34.7,15.0,2759.0,24.0,2024.0
581,1001,Aryna Sabalenka,R,182.0,26.0,6-2 6-4,Rome,72.0,Jelena Ostapenko,R,177.0,26.9,2.0,7498.0,10.0,3493.0
582,1002,Iga Swiatek,R,176.0,22.9,7-5 6-3,Rome,98.0,Angelique Kerber,L,173.0,36.2,1.0,10910.0,331.0,202.0
583,1003,Madison Keys,R,178.0,29.2,6-2 6-1,Rome,60.0,Sorana Cirstea,R,176.0,34.0,16.0,2688.0,32.0,1619.0
584,1004,Coco Gauff,R,175.0,20.1,5-7 6-4 6-1,Rome,147.0,Paula Badosa,R,180.0,26.4,3.0,7313.0,126.0,627.0
585,1006,Victoria Azarenka,R,180.0,34.7,6-4 6-1,Rome,78.0,Maria Sakkari,R,172.0,28.7,24.0,2024.0,8.0,3925.0
586,1007,Danielle Collins,R,178.0,30.3,6-0 6-3,Rome,67.0,Irina Camelia Begu,R,181.0,33.6,15.0,2759.0,161.0,471.0
587,1009,Aryna Sabalenka,R,182.0,26.0,4-6 6-1 7-6(7),Rome,144.0,Elina Svitolina,R,174.0,29.6,2.0,7498.0,19.0,2400.0
